127.0.0.1 - - [29/May/2023:10:17:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/May/2023:10:17:07 +0900] "GET /day44_css_js/html/ex16_button.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:17:07 +0900] "GET /day44_css_js/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:20:39 +0900] "GET /day44_css_js/html/ex16_button.html HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [29/May/2023:10:20:39 +0900] "GET /day44_css_js/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:20:41 +0900] "GET /day44_css_js/html/ex16_button.html? HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [29/May/2023:10:20:50 +0900] "GET /day44_css_js/html/ex16_button.html? HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [29/May/2023:10:20:51 +0900] "GET /day44_css_js/html/ex16_button.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:20:51 +0900] "GET /day44_css_js/html/ex16_button.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:21:19 +0900] "GET /day44_css_js/html/ex16_button.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:23:14 +0900] "GET /day44_css_js/html/ex16_button.html? HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [29/May/2023:10:23:14 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 210720
0:0:0:0:0:0:0:1 - - [29/May/2023:10:24:35 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [29/May/2023:10:26:38 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [29/May/2023:10:28:30 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [29/May/2023:10:28:41 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:31:44 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [29/May/2023:10:31:49 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:32:03 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [29/May/2023:10:34:31 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [29/May/2023:10:34:39 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:05 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:05 +0900] "GET /day44_css_js/html/main.js HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:07 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:07 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:07 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:07 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:30 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:30 +0900] "GET /day44_css_js/html/main.js HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:31 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:41:31 +0900] "GET /day44_css_js/html/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:31 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:31 +0900] "GET /day44_css_js/html/main.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:32 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:32 +0900] "GET /day44_css_js/html/main.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:32 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:32 +0900] "GET /day44_css_js/html/main.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:32 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:32 +0900] "GET /day44_css_js/html/main.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:32 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:42:32 +0900] "GET /day44_css_js/html/main.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:01 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:01 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:02 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:02 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:02 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:02 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:03 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:03 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:14 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:43:14 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/May/2023:10:44:12 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [29/May/2023:10:44:12 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:44:48 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:44:48 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [29/May/2023:10:45:20 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [29/May/2023:10:45:20 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:46:43 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [29/May/2023:10:46:43 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:10:48:05 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [29/May/2023:10:48:05 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:20:33 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [29/May/2023:11:20:33 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:23:18 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [29/May/2023:11:23:18 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [29/May/2023:11:23:29 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:23:29 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:23 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:23 +0900] "GET /day44_css_js/js/main.js HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:23 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:24 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:24 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:25 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:25 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:26 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:26 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:26 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:26 +0900] "GET /day44_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:11:24:27 +0900] "GET /day44_css_js/html/ex17_js.html HTTP/1.1" 304 -
